time,node_id,vehicles_in_range
132.0,rsu1,4
132.0,rsu2,0
132.0,rsu3,1
132.0,rsu4,0
132.0,rsu5,0
132.0,edge1,9
132.0,edge2,2
133.0,rsu1,4
133.0,rsu2,0
133.0,rsu3,1
133.0,rsu4,0
133.0,rsu5,0
133.0,edge1,9
133.0,edge2,2
134.0,rsu1,4
134.0,rsu2,0
134.0,rsu3,1
134.0,rsu4,0
134.0,rsu5,0
134.0,edge1,8
134.0,edge2,2
135.0,rsu1,4
135.0,rsu2,0
135.0,rsu3,1
135.0,rsu4,0
135.0,rsu5,0
135.0,edge1,8
135.0,edge2,2
136.0,rsu1,4
136.0,rsu2,0
136.0,rsu3,0
136.0,rsu4,0
136.0,rsu5,0
136.0,edge1,8
136.0,edge2,2
137.0,rsu1,4
137.0,rsu2,0
137.0,rsu3,0
137.0,rsu4,0
137.0,rsu5,0
137.0,edge1,8
137.0,edge2,1
138.0,rsu1,4
138.0,rsu2,0
138.0,rsu3,0
138.0,rsu4,0
138.0,rsu5,0
138.0,edge1,8
138.0,edge2,1
139.0,rsu1,4
139.0,rsu2,0
139.0,rsu3,0
139.0,rsu4,0
139.0,rsu5,0
139.0,edge1,8
139.0,edge2,1
140.0,rsu1,3
140.0,rsu2,0
140.0,rsu3,0
140.0,rsu4,0
140.0,rsu5,0
140.0,edge1,8
140.0,edge2,1
141.0,rsu1,3
141.0,rsu2,0
141.0,rsu3,0
141.0,rsu4,0
141.0,rsu5,0
141.0,edge1,9
141.0,edge2,1
142.0,rsu1,3
142.0,rsu2,0
142.0,rsu3,0
142.0,rsu4,0
142.0,rsu5,0
142.0,edge1,8
142.0,edge2,1
143.0,rsu1,3
143.0,rsu2,0
143.0,rsu3,0
143.0,rsu4,0
143.0,rsu5,1
143.0,edge1,8
143.0,edge2,1
144.0,rsu1,3
144.0,rsu2,0
144.0,rsu3,0
144.0,rsu4,0
144.0,rsu5,1
144.0,edge1,8
144.0,edge2,1
145.0,rsu1,3
145.0,rsu2,0
145.0,rsu3,0
145.0,rsu4,0
145.0,rsu5,1
145.0,edge1,8
145.0,edge2,1
146.0,rsu1,3
146.0,rsu2,0
146.0,rsu3,0
146.0,rsu4,0
146.0,rsu5,1
146.0,edge1,8
146.0,edge2,1
