time,event,task_id,veh_id,info
94.0,generated,ind_fcb47359,5,"{""kind"": ""independent"", ""size"": 354633, ""cpu"": 63870183.21887978, ""deadline"": 279.6007896758881}"
98.0,generated,ind_d3b64fdf,5,"{""kind"": ""independent"", ""size"": 132883, ""cpu"": 88404397.13598415, ""deadline"": 285.1230496110976}"
108.0,generated,dep_1fb1e5e6,10,"{""kind"": ""dependent"", ""num_subtasks"": 10, ""deadline"": 1029.4916657256435}"
108.0,generated,ind_f3f2d02d,7,"{""kind"": ""independent"", ""size"": 286253, ""cpu"": 21051832.959652502, ""deadline"": 117.35942585656264}"
111.0,generated,ind_c1c87787,1,"{""kind"": ""independent"", ""size"": 394797, ""cpu"": 32107679.89528573, ""deadline"": 255.94983838806843}"
113.0,generated,dep_b4444e31,10,"{""kind"": ""dependent"", ""num_subtasks"": 12, ""deadline"": 1947.6660198063455}"
113.0,generated,ind_ff4a41e1,5,"{""kind"": ""independent"", ""size"": 166523, ""cpu"": 57989145.16448276, ""deadline"": 228.3689975561362}"
117.0,generated,ind_3cd7c0de,11,"{""kind"": ""independent"", ""size"": 424174, ""cpu"": 64599938.34676272, ""deadline"": 157.37489255060837}"
123.0,generated,ind_7c1d26da,9,"{""kind"": ""independent"", ""size"": 275945, ""cpu"": 25199654.213619746, ""deadline"": 173.01645987402975}"
124.0,generated,ind_f8e089e1,12,"{""kind"": ""independent"", ""size"": 59887, ""cpu"": 38747595.424710564, ""deadline"": 249.07474149635874}"
127.0,generated,dep_56350dae,4,"{""kind"": ""dependent"", ""num_subtasks"": 9, ""deadline"": 1699.381807191997}"
131.0,generated,ind_2192830b,6,"{""kind"": ""independent"", ""size"": 278213, ""cpu"": 87200821.82568963, ""deadline"": 249.93584661267823}"
137.0,generated,ind_8244c255,9,"{""kind"": ""independent"", ""size"": 168739, ""cpu"": 30563532.111975893, ""deadline"": 182.43400127582245}"
139.0,generated,ind_0b27ec09,10,"{""kind"": ""independent"", ""size"": 214921, ""cpu"": 65446318.575355045, ""deadline"": 306.01417154892613}"
139.0,generated,ind_17542ff6,7,"{""kind"": ""independent"", ""size"": 371743, ""cpu"": 51262712.3563615, ""deadline"": 329.54137964997153}"
140.0,generated,dep_5cad43ad,7,"{""kind"": ""dependent"", ""num_subtasks"": 10, ""deadline"": 645.3933051008428}"
143.0,generated,dep_f851c42e,7,"{""kind"": ""dependent"", ""num_subtasks"": 7, ""deadline"": 211.4378785040543}"
152.0,generated,ind_d5e92ea4,8,"{""kind"": ""independent"", ""size"": 123357, ""cpu"": 58220872.06489654, ""deadline"": 311.0282986905706}"
161.0,generated,ind_6acf3067,10,"{""kind"": ""independent"", ""size"": 263226, ""cpu"": 10604780.629581422, ""deadline"": 318.7806076351085}"
161.0,generated,dep_0ec1eb60,10,"{""kind"": ""dependent"", ""num_subtasks"": 9, ""deadline"": 1840.1218473083738}"
165.0,generated,ind_a453c85d,16,"{""kind"": ""independent"", ""size"": 368574, ""cpu"": 3554665.3226472973, ""deadline"": 166.86240538809108}"
169.0,generated,ind_feae3c3a,8,"{""kind"": ""independent"", ""size"": 240467, ""cpu"": 79142203.69471061, ""deadline"": 326.9520813927527}"
170.0,generated,ind_1a24b358,13,"{""kind"": ""independent"", ""size"": 233709, ""cpu"": 5283255.611470958, ""deadline"": 261.75370924615765}"
174.0,generated,ind_e06d21d5,12,"{""kind"": ""independent"", ""size"": 107907, ""cpu"": 78626062.64637892, ""deadline"": 306.1333703774095}"
177.0,generated,ind_897c70a8,13,"{""kind"": ""independent"", ""size"": 207957, ""cpu"": 76525613.57430547, ""deadline"": 228.60729402625714}"
177.0,generated,ind_a44b48d1,8,"{""kind"": ""independent"", ""size"": 379473, ""cpu"": 75011465.9074807, ""deadline"": 197.36927230321302}"
187.0,generated,ind_93d4b2e0,13,"{""kind"": ""independent"", ""size"": 358721, ""cpu"": 24396063.202912737, ""deadline"": 196.66135498592715}"
195.0,generated,dep_690b73e1,12,"{""kind"": ""dependent"", ""num_subtasks"": 4, ""deadline"": 781.2471037967972}"
197.0,generated,ind_3b2a8da3,14,"{""kind"": ""independent"", ""size"": 90692, ""cpu"": 38320821.559852995, ""deadline"": 199.21473779468795}"
